"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-128-3p",2009.67393876195,-0.154060006139719,0.684595364570498,-0.225038050376478,0.821949673419412,0.996644297020116
"hsa-miR-130a-3p",971.020367591933,0.071348103644499,0.677053092423311,0.105380367423077,0.916073993842664,0.996644297020116
"hsa-miR-132-3p",22.6617118007182,-0.577980619745531,1.00342481725045,-0.5760078979602,0.564609843209567,0.996644297020116
"hsa-miR-140-5p",23.0422151482271,0.414335462566372,1.08000365579481,0.383642648192195,0.701243325670112,0.996644297020116
"hsa-miR-140-3p",629.284628938031,0.130389605628444,0.670863135687816,0.194360963797421,0.845893253412466,0.996644297020116
"hsa-miR-142-5p",8043.89475409323,0.0119111900976841,0.728016595097921,0.0163611518994042,0.9869462718913,0.996644297020116
"hsa-miR-142-3p",1113.08513873742,0.146909569337285,0.661672511614292,0.222027614505049,0.824292386516844,0.996644297020116
"hsa-miR-143-3p",253.405726425811,1.41851910092598,0.735399201550363,1.92891030876219,0.0537419978339721,0.996644297020116
"hsa-miR-144-5p",2359.09487784628,0.212214059727798,0.893280372579126,0.237567135965477,0.812216842511101,0.996644297020116
"hsa-miR-144-3p",1858.66958608793,0.920290921223637,1.08195151414329,0.850584253724475,0.395000339497558,0.996644297020116
"hsa-miR-145-5p",54.7842292285589,2.31384134498121,1.09171399993005,2.11945742669736,0.0340518280267166,0.996644297020116
"hsa-miR-152-3p",5.23396513537729,-0.202336842741793,1.69063459567629,-0.119681002186551,0.904735850234229,0.996644297020116
"hsa-miR-191-5p",54893.7222204685,0.234285462264898,0.655321687011195,0.357512145421941,0.720708435459408,0.996644297020116
"hsa-miR-191-3p",3.31608579384171,0.930448803394202,2.02802551165394,0.458795413591905,0.646381088618518,0.996644297020116
"hsa-miR-125a-5p",154.108297080393,-0.573848491961996,0.70931244585741,-0.809020757091516,0.418503206827119,0.996644297020116
"hsa-miR-126-5p",1638.71352580429,0.820116041812392,0.885583442050143,0.926074272474886,0.354407383167619,0.996644297020116
"hsa-miR-126-3p",237.725853316828,0.347850136426931,0.972962387239408,0.357516529918374,0.720705153714788,0.996644297020116
"hsa-miR-127-3p",23.3442525802821,0.350556882421636,1.29707625036634,0.270266981083514,0.78695486570093,0.996644297020116
"hsa-miR-136-3p",2.56340442902161,-0.197670165620495,2.59412343267651,-0.0761992136266804,0.93926060830716,0.996644297020116
"hsa-miR-146a-5p",43.5471547852615,-0.175701731906354,0.890262306125615,-0.19735950932372,0.843546213276958,0.996644297020116
"hsa-miR-185-5p",1314.47427463876,0.0542117006157544,0.670731502418991,0.0808247419723691,0.93558133118979,0.996644297020116
"hsa-miR-185-3p",23.7535245778946,0.750822146979294,0.981892460744359,0.764668410235176,0.444469021506099,0.996644297020116
"hsa-miR-186-5p",17793.6428490882,0.428724028082196,0.687045797951748,0.624010843760819,0.532620463648439,0.996644297020116
"hsa-miR-188-3p",5.41490581572797,0.57723636410319,1.63224023507969,0.353646694706682,0.723603675523586,0.996644297020116
"hsa-miR-190a-5p",47.0415922028715,0.210596963636107,1.14360830253906,0.184151307024036,0.853894757478162,0.996644297020116
"hsa-miR-193a-5p",6.52709445788751,-0.840551357817029,1.4285720252783,-0.588385704706266,0.556273430774538,0.996644297020116
"hsa-miR-193a-3p",4.66849118043328,2.59187431945214,2.09332608447858,1.23816080957007,0.215656439819887,0.996644297020116
"hsa-miR-194-5p",1027.71013057938,0.619119168199647,0.682800515886098,0.906735062137718,0.364546917286702,0.996644297020116
"hsa-miR-195-5p",2.56084298497031,-0.861584347105883,2.11726746987948,-0.406932217758453,0.684057772420103,0.996644297020116
"hsa-miR-320a-3p",724.541015844661,-0.203462652704699,0.741626138779567,-0.274346658060785,0.783818231494171,0.996644297020116
"hsa-miR-200c-3p",3.01498990110267,-1.05496752109423,1.99733744790317,-0.528186923146988,0.597369604715338,0.996644297020116
"hsa-miR-155-5p",24.478155951126,-0.141307547462853,1.03392921396177,-0.136670427292982,0.891291305748481,0.996644297020116
"hsa-miR-106b-5p",831.332504838989,0.259354978672506,0.779607431786792,0.332673815176553,0.739380517228965,0.996644297020116
"hsa-miR-106b-3p",1546.43281053824,0.272056229857896,0.673519905306773,0.403931981392563,0.686262737814132,0.996644297020116
"hsa-miR-29c-5p",25.199402708146,-0.236495719843124,1.02845496141244,-0.229952432256565,0.818128732774299,0.996644297020116
"hsa-miR-29c-3p",231.167369475366,0.226637070011965,0.765726075865566,0.295976690823514,0.76724788233541,0.996644297020116
